assembly,Family,Strain,lane_id,Designation,Designation.source,O,H,ST131.clade,count
20727_3_2_clean_Escherichia_coli-SC32_ST80_contigs,B00010,SC32_ST80,20727_3_2,KL8A1_K1,>5000bp,O75,H7,,1
20596_4_13_clean_Escherichia_coli-SC5_ST95_contigs,B00013,SC5_ST95,20596_4_13,KL8A1_K1,>5000bp,O1,H7,,1
20596_4_18_clean_Escherichia_coli-SC6_ST69_contigs,B00016,SC6_ST69,20596_4_18,KL82_K1-K92-like,<5000bp,O15,H2,,1
20596_4_21_clean_Escherichia_coli-SC3_ST73_contigs,B00020,SC3_ST73,20596_4_21,KL21_K13-K23,>5000bp,Oneg,H1,,1
20596_5_10_clean_Escherichia_coli-SC18_ST141_contigs,B00040,SC18_ST141,20596_5_10,KL8A1_K1,>5000bp,O2,H6,,1
20596_5_10_clean_Escherichia_coli-SC4_ST10_contigs,B00040,SC4_ST10,20596_5_10,Untypeable,Both,O2,H6,,1
20596_5_18_clean_Escherichia_coli-SC46_ST746_contigs,B00046,SC46_ST746,20596_5_18,Untypeable,Both,O9,Hneg,,1
20596_5_18_clean_Escherichia_coli-SC4_ST10_contigs,B00046,SC4_ST10,20596_5_18,Untypeable,Both,O9,Hneg,,1
20596_5_21_clean_Escherichia_coli-SC100_ST6701_contigs,B00052,SC100_ST6701,20596_5_21,Untypeable,Both,O147,H21,,1
20727_3_20_clean_Escherichia_coli-SC65_ST399_contigs,B00075,SC65_ST399,20727_3_20,KL160_K19,>5000bp,O1,H30,,1
20727_3_22_clean_Escherichia_coli-SC65_ST399_contigs,B00076,SC65_ST399,20727_3_22,Untypeable,Both,O126,H30,,1
37082_4_15_clean_Escherichia_coli-SC2_ST131_contigs,B00086,SC2_ST131,37082_4_15,KL2_K100,>5000bp,O16,H5,A,1
20727_6_24_clean_Escherichia_coli-SC16_ST38_contigs,B00088,SC16_ST38,20727_6_24,KL5,>5000bp,O45,H15,,1
20727_4_10_clean_Escherichia_coli-SC65_ST399_contigs,B00092,SC65_ST399,20727_4_10,Untypeable,Both,O1,H31,,1
20727_5_20_clean_Escherichia_coli-SC18_ST141_contigs,B00112,SC18_ST141,20727_5_20,KL8A1_K1,>5000bp,O2,H6,,1
20727_7_6_clean_Escherichia_coli-SC65_ST399_contigs,B00116,SC65_ST399,20727_7_6,Untypeable,Both,O117,H25,,1
20727_4_24_clean_Escherichia_coli-SC5_ST95_contigs,B00119,SC5_ST95,20727_4_24,KL8A1_K1,>5000bp,Oneg,Hneg,,1
20727_6_4_clean_Escherichia_coli-SC4_ST10_contigs,B00136,SC4_ST10,20727_6_4,KL30,>5000bp,Oneg,H4,,1
20727_6_2_clean_Escherichia_coli-SC65_ST399_contigs,B00136,SC65_ST399,20727_6_2,Untypeable,Both,O27,Hneg,,1
20727_6_5_clean_Escherichia_coli-SC11_ST127_contigs,B00139,SC11_ST127,20727_6_5,KL137_K14-like,>5000bp,O6,Hneg,,1
20727_6_7_clean_Escherichia_coli-SC65_ST399_contigs,B00139,SC65_ST399,20727_6_7,Untypeable,Both,O27,Hneg,,1
37082_4_12_clean_Escherichia_coli-SC5_ST95_contigs,B00141,SC5_ST95,37082_4_12,KL8A1_K1,>5000bp,Oneg,H4,,1
20727_6_8_clean_Escherichia_coli-SC4_ST10_contigs,B00145,SC4_ST10,20727_6_8,KL82_K1-K92-like,<5000bp,Oneg,H9,,1
20727_6_9_clean_Escherichia_coli-SC4_ST10_contigs,B00145,SC4_ST10,20727_6_9,KL8A1_K1,>5000bp,O45/O99,H4,,2
20727_6_10_clean_Escherichia_coli-SC81_ST13_contigs,B00145,SC81_ST13,20727_6_10,Untypeable,Both,O45/O99,H4,,1
20727_5_8_clean_Escherichia_coli-SC229_ST401_contigs,B00146,SC229_ST401,20727_5_8,Untypeable,Both,Oneg,Hneg,,1
37082_4_32_clean_Escherichia_coli-SC2_ST131_contigs,B00151,SC2_ST131,37082_4_32,Untypeable,Both,O62/O68,H4,B,1
20727_5_15_clean_Escherichia_coli-SC5_ST95_contigs,B00153,SC5_ST95,20727_5_15,KL8A1_K1,>5000bp,O1,H7,,1
20727_6_16_clean_Escherichia_coli-SC3_ST73_contigs,B00174,SC3_ST73,20727_6_16,KL10_K7,>5000bp,O6,H1,,1
20727_6_15_clean_Escherichia_coli-SC3_ST73_contigs,B00174,SC3_ST73,20727_6_15,KL6_K5,>5000bp,O6,H1,,2
20727_7_11_clean_Escherichia_coli-SC69_ST349_contigs,B00176,SC69_ST349,20727_7_11,KL8A1_K1,>5000bp,O86,H2,,1
37273_7_23_clean_Escherichia_coli-SC43_ST206_contigs,B00202,SC43_ST206,37273_7_23,Untypeable,Both,Onovel32,H9,,1
37273_7_23_clean_Escherichia_coli-SC4_ST10_contigs,B00202,SC4_ST10,37273_7_23,Untypeable,Both,Onovel32,H9,,1
21127_3_10_clean_Escherichia_coli-SC60_ST420_contigs,B00203,SC60_ST420,21127_3_10,KL8A1_K1,>5000bp,O134,H31,,1
20727_7_20_clean_Escherichia_coli-SC4_ST10_contigs,B00220,SC4_ST10,20727_7_20,KL3_K2ab,>5000bp,O86,H2,,1
37082_4_21_clean_Escherichia_coli-SC9_ST12_contigs,B00222,SC9_ST12,37082_4_21,KL86_K12,>5000bp,O4,H1,,1
20727_7_21_clean_Escherichia_coli-SC3_ST73_contigs,B00224,SC3_ST73,20727_7_21,KL6_K5,>5000bp,Oneg,H1,,1
37082_4_22_clean_Escherichia_coli-SC2_ST131_contigs,B00232,SC2_ST131,37082_4_22,KL3_K2ab,>5000bp,O25,H4,C,1
37082_4_22_clean_Escherichia_coli-SC4_ST10_contigs,B00232,SC4_ST10,37082_4_22,KL8A1_K1,<5000bp,O25,H4,,1
37035_5_23_clean_Escherichia_coli-SC4_ST10_contigs,B00234,SC4_ST10,37035_5_23,KL82_K1-K92-like,<5000bp,Oneg,H4,,1
21673_23_clean_Escherichia_coli-SC9_ST12_contigs,B00235,SC9_ST12,21673_23,KL26_K3,>5000bp,O4,H5,,1
37082_4_23_clean_Escherichia_coli-SC3_ST73_contigs,B00240,SC3_ST73,37082_4_23,KL21_K13-K23,>5000bp,O6,H1,,1
37082_4_23_clean_Escherichia_coli-SC74_ST540_contigs,B00240,SC74_ST540,37082_4_23,Untypeable,Both,O6,H1,,1
21127_3_1_clean_Escherichia_coli-SC21_ST393_contigs,B00243,SC21_ST393,21127_3_1,KL2_K100,>5000bp,O130,H27,,1
37082_4_27_clean_Escherichia_coli-SC3_ST73_contigs,B00249,SC3_ST73,37082_4_27,KL21_K13-K23,>5000bp,O6,H1,,1
21127_4_8_clean_Escherichia_coli-SC229_ST401_contigs,B00252,SC229_ST401,21127_4_8,Untypeable,Both,Oneg,H11,,1
37081_1_9_clean_Escherichia_coli-SC5_ST95_contigs,B00266,SC5_ST95,37081_1_9,KL8A1_K1,>5000bp,O1,H7,,1
37081_1_1_clean_Escherichia_coli-SC6_ST69_contigs,B00269,SC6_ST69,37081_1_1,KL36_K54-K96,<5000bp,O17,H18,,1
21127_3_17_clean_Escherichia_coli-SC105_ST636_contigs,B00272,SC105_ST636,21127_3_17,KL5,>5000bp,O83,H7,,1
37081_1_3_clean_Escherichia_coli-SC4_ST10_contigs,B00506,SC4_ST10,37081_1_3,Untypeable,Both,Oneg,Hneg,,1
21242_77_clean_Escherichia_coli-SC2_ST131_contigs,B00507,SC2_ST131,21242_77,KL6_K5,>5000bp,O25,H4,C2,1
24211_2_4_clean_Escherichia_coli-SC8_ST1193_contigs,B00509,SC8_ST1193,24211_2_4,KL6_K5,>5000bp,O75,H5,,1
21127_5_23_clean_Escherichia_coli-SC11_ST127_contigs,B00518,SC11_ST127,21127_5_23,KL137_K14-like,>5000bp,O6,H31,,1
21127_4_6_clean_Escherichia_coli-SC100_ST6701_contigs,B00537,SC100_ST6701,21127_4_6,Untypeable,Both,O147,H21,,1
37035_5_25_clean_Escherichia_coli-SC176_ST603_contigs,B00546,SC176_ST603,37035_5_25,Untypeable,Both,Oneg,H16,,1
37081_1_8_clean_Escherichia_coli-SC2_ST131_contigs,B00552,SC2_ST131,37081_1_8,KL8A1_K1,>5000bp,O25,H4,B,1
21127_4_11_clean_Escherichia_coli-SC34_ST641_contigs,B00553,SC34_ST641,21127_4_11,KL15_K10,>5000bp,O23,H16,,1
21127_4_12_clean_Escherichia_coli-SC25_ST517_contigs,B00560,SC25_ST517,21127_4_12,Untypeable,Both,O174,H2,,1
21127_4_12_clean_Escherichia_coli-SC58_ST2773_contigs,B00560,SC58_ST2773,21127_4_12,Untypeable,Both,O174,H2,,1
21127_4_12_clean_Escherichia_coli-SC87_ST937_contigs,B00560,SC87_ST937,21127_4_12,Untypeable,Both,O174,H2,,1
37273_7_1_clean_Escherichia_coli-SC60_ST420_contigs,B00563,SC60_ST420,37273_7_1,KL8A1_K1,>5000bp,O134,H31,,1
37273_7_24_clean_Escherichia_coli-SC6_ST69_contigs,B00567,SC6_ST69,37273_7_24,KL107_K4-like,>5000bp,O15,H18,,1
21127_5_13_clean_Escherichia_coli-SC12_ST410_contigs,B00916,SC12_ST410,21127_5_13,Untypeable,Both,O8,H9,,1
37081_1_17_clean_Escherichia_coli-SC105_ST636_contigs,B00965,SC105_ST636,37081_1_17,KL5,>5000bp,O83,H7,,1
37273_7_27_clean_Escherichia_coli-SC6_ST69_contigs,B00982,SC6_ST69,37273_7_27,KL189_K52-like,>5000bp,O15,H18,,1
37273_7_28_clean_Escherichia_coli-SC20_ST59_contigs,B01003,SC20_ST59,37273_7_28,KL8A1_K1,>5000bp,O1,H7,,1
37273_7_28_clean_Escherichia_coli-SC4_ST10_contigs,B01003,SC4_ST10,37273_7_28,Untypeable,Both,O1,H7,,1
21127_6_12_clean_Escherichia_coli-SC61_ST91_contigs,B01021,SC61_ST91,21127_6_12,KL29_K4,>5000bp,O39,H4,,1
21127_7_5_clean_Escherichia_coli-SC5_ST95_contigs,B01027,SC5_ST95,21127_7_5,KL8A1_K1,>5000bp,O1,H7,,1
37081_1_25_clean_Escherichia_coli-SC141_ST6260_contigs,B01038,SC141_ST6260,37081_1_25,Untypeable,Both,O112ab,H2/H53,,1
21127_6_18_clean_Escherichia_coli-SC54_ST538_contigs,B01039,SC54_ST538,21127_6_18,KL8A2_K92,>5000bp,O129,H4,,1
21127_6_20_clean_Escherichia_coli-SC4_ST10_contigs,B01042,SC4_ST10,21127_6_20,KL8A1_K1,>5000bp,O17,H18,,1
21127_6_20_clean_Escherichia_coli-SC6_ST69_contigs,B01042,SC6_ST69,21127_6_20,KL160_K19,>5000bp,O17,H18,,1
21127_6_22_clean_Escherichia_coli-SC149_ST224_contigs,B01089,SC149_ST224,21127_6_22,Untypeable,Both,Oneg,H7,,1
21127_6_22_clean_Escherichia_coli-SC58_ST2773_contigs,B01089,SC58_ST2773,21127_6_22,Untypeable,Both,Oneg,H7,,1
37081_1_26_clean_Escherichia_coli-SC4_ST10_contigs,B01117,SC4_ST10,37081_1_26,Untypeable,Both,Oneg,H4,,1
37081_2_4_clean_Escherichia_coli-SC17_ST58_contigs,B01122,SC17_ST58,37081_2_4,Untypeable,Both,O6,H1,,1
37081_2_4_clean_Escherichia_coli-SC3_ST73_contigs,B01122,SC3_ST73,37081_2_4,KL6_K5,>5000bp,O6,H1,,1
24759_5_13_clean_Escherichia_coli-SC229_ST401_contigs,B01194,SC229_ST401,24759_5_13,Untypeable,Both,Oneg,H35,,1
21242_18_clean_Escherichia_coli-SC2_ST131_contigs,B01194,SC2_ST131,21242_18,KL3_K2ab,>5000bp,O25,H4,B,1
21242_55_clean_Escherichia_coli-SC2_ST131_contigs,B01194,SC2_ST131,21242_55,KL6_K5,>5000bp,O25,H4,B,3
21242_12_clean_Escherichia_coli-SC4_ST10_contigs,B01194,SC4_ST10,21242_12,KL12_K82,<5000bp,Oneg,H2,,1
21242_27_clean_Escherichia_coli-SC13_ST442_contigs,B01196,SC13_ST442,21242_27,KL173,>5000bp,O146,H21,,1
25013_2_22_clean_Escherichia_coli-SC2_ST131_contigs,B01218,SC2_ST131,25013_2_22,KL177_K5-like,<5000bp,O7,H45,C1,1
25013_2_22_clean_Escherichia_coli-SC38_ST62_contigs,B01218,SC38_ST62,25013_2_22,KL8A1_K1,>5000bp,O7,H45,,1
25013_3_1_clean_Escherichia_coli-SC77_ST409_contigs,B01218,SC77_ST409,25013_3_1,Untypeable,Both,O75,H38/H55,,1
21242_31_clean_Escherichia_coli-SC2_ST131_contigs,B01235,SC2_ST131,21242_31,KL6_K5,>5000bp,O25,H4,B,1
22178_4_14_clean_Escherichia_coli-SC70_ST607_contigs,B01247,SC70_ST607,22178_4_14,Untypeable,Both,O71,Hneg,,1
24469_6_24_clean_Escherichia_coli-SC24_ST443_contigs,B01256,SC24_ST443,24469_6_24,Untypeable,Both,O128,H12,,1
24469_6_24_clean_Escherichia_coli-SC4_ST10_contigs,B01256,SC4_ST10,24469_6_24,Untypeable,Both,O128,H12,,1
21242_35_clean_Escherichia_coli-SC2_ST131_contigs,B01261,SC2_ST131,21242_35,KL103_K100-like,<5000bp,O16,Hneg,A,1
21242_37_clean_Escherichia_coli-SC2_ST131_contigs,B01261,SC2_ST131,21242_37,KL2_K100,>5000bp,O16,H5,A,2
21242_38_clean_Escherichia_coli-SC90_ST685_contigs,B01261,SC90_ST685,21242_38,Untypeable,Both,O16,H5,,1
24759_5_16_clean_Escherichia_coli-SC43_ST206_contigs,B01265,SC43_ST206,24759_5_16,Untypeable,Both,O88,H5,,1
21242_34_clean_Escherichia_coli-SC45_ST297_contigs,B01265,SC45_ST297,21242_34,Untypeable,Both,O136,H4,,1
21242_34_clean_Escherichia_coli-SC4_ST10_contigs,B01265,SC4_ST10,21242_34,KL82_K1-K92-like,<5000bp,O136,H4,,1
21242_53_clean_Escherichia_coli-SC4_ST10_contigs,B01277,SC4_ST10,21242_53,Untypeable,Both,O162,H10,,1
21242_54_clean_Escherichia_coli-SC2_ST131_contigs,B01278,SC2_ST131,21242_54,Untypeable,Both,O16/O9,H5,A,1
25076_3_13_clean_Escherichia_coli-SC67_ST381_contigs,B01278,SC67_ST381,25076_3_13,Untypeable,Both,O119,H8,,1
21673_32_clean_Escherichia_coli-SC3_ST73_contigs,B01284,SC3_ST73,21673_32,KL6_K5,>5000bp,O6,H1,,1
21673_11_clean_Escherichia_coli-SC8_ST1193_contigs,B01299,SC8_ST1193,21673_11,KL6_K5,>5000bp,O75,H5,,1
37081_2_21_clean_Escherichia_coli-SC18_ST141_contigs,B01335,SC18_ST141,37081_2_21,KL8A1_K1,>5000bp,O2,H6,,1
24469_6_6_clean_Escherichia_coli-SC15_ST648_contigs,B01339,SC15_ST648,24469_6_6,KL140_K7-like,>5000bp,O109,H19,,1
24469_6_6_clean_Escherichia_coli-SC329_ST6446_contigs,B01339,SC329_ST6446,24469_6_6,Untypeable,Both,O109,H19,,1
21673_21_clean_Escherichia_coli-SC357_ST4624_contigs,B01339,SC357_ST4624,21673_21,KL71,>5000bp,Oneg,H25,,1
24469_6_6_clean_Escherichia_coli-SC9_ST12_contigs,B01339,SC9_ST12,24469_6_6,KL26_K3,>5000bp,O109,H19,,1
37081_2_17_clean_Escherichia_coli-SC60_ST420_contigs,B01349,SC60_ST420,37081_2_17,KL8A1_K1,>5000bp,O134,H31,,1
37081_2_24_clean_Escherichia_coli-SC3_ST73_contigs,B01356,SC3_ST73,37081_2_24,KL6_K5,>5000bp,O6,H1,,1
37081_2_23_clean_Escherichia_coli-SC4_ST10_contigs,B01361,SC4_ST10,37081_2_23,Untypeable,Both,Oneg,Hneg,,1
21242_65_clean_Escherichia_coli-SC168_ST115_contigs,B01364,SC168_ST115,21242_65,Untypeable,Both,O92,H31,,1
24469_3_3_clean_Escherichia_coli-SC1_ST11_contigs,B01364,SC1_ST11,24469_3_3,Untypeable,Both,O111,H21,,1
24469_3_3_clean_Escherichia_coli-SC44_ST200_contigs,B01364,SC44_ST200,24469_3_3,Untypeable,Both,O111,H21,,1
21673_25_clean_Escherichia_coli-SC3_ST73_contigs,B01365,SC3_ST73,21673_25,KL6_K5,>5000bp,O6,H1,,1
21673_57_clean_Escherichia_coli-SC17_ST58_contigs,B01368,SC17_ST58,21673_57,Untypeable,Both,O35,Hneg,,1
24469_1_13_clean_Escherichia_coli-SC12_ST410_contigs,B01372,SC12_ST410,24469_1_13,Untypeable,Both,O25,H4,,1
24469_1_13_clean_Escherichia_coli-SC2_ST131_contigs,B01372,SC2_ST131,24469_1_13,KL47_K16,>5000bp,O25,H4,B,1
24469_1_13_clean_Escherichia_coli-SC373_ST10270_contigs,B01372,SC373_ST10270,24469_1_13,Untypeable,Both,O25,H4,,1
21523_4_12_clean_Escherichia_coli-SC17_ST58_contigs,B01373,SC17_ST58,21523_4_12,Untypeable,Both,O8,H10,,1
25076_5_16_clean_Escherichia_coli-SC44_ST200_contigs,B01373,SC44_ST200,25076_5_16,Untypeable,Both,O153-like,H21,,1
21523_4_12_clean_Escherichia_coli-SC48_ST136_contigs,B01373,SC48_ST136,21523_4_12,Untypeable,Both,O8,H10,,1
25013_2_14_clean_Escherichia_coli-SC18_ST141_contigs,B01374,SC18_ST141,25013_2_14,KL8A1_K1,>5000bp,O2,H6,,1
25013_2_14_clean_Escherichia_coli-SC4_ST10_contigs,B01374,SC4_ST10,25013_2_14,Untypeable,Both,O2,H6,,1
25013_2_14_clean_Escherichia_coli-SC65_ST399_contigs,B01374,SC65_ST399,25013_2_14,Untypeable,Both,O2,H6,,1
21842_2_12_clean_Escherichia_coli-SC17_ST58_contigs,B01406,SC17_ST58,21842_2_12,Untypeable,Both,O9,H21,,1
24469_7_7_clean_Escherichia_coli-SC2_ST131_contigs,B01406,SC2_ST131,24469_7_7,KL47_K16,<5000bp,O25,H4,B,1
21523_4_11_clean_Escherichia_coli-SC108_ST1236_contigs,B01408,SC108_ST1236,21523_4_11,KL112,<5000bp,Oneg,H4,,1
21673_13_clean_Escherichia_coli-SC108_ST1236_contigs,B01408,SC108_ST1236,21673_13,KL177_K5-like,<5000bp,O19,H4,,3
21673_13_clean_Escherichia_coli-SC145_ST1170_contigs,B01408,SC145_ST1170,21673_13,Untypeable,Both,O19,H4,,1
21523_4_11_clean_Escherichia_coli-SC2_ST131_contigs,B01408,SC2_ST131,21523_4_11,Untypeable,Both,Oneg,H4,B,1
21523_4_11_clean_Escherichia_coli-SC33_ST357_contigs,B01408,SC33_ST357,21523_4_11,KL8A1_K1,<5000bp,Oneg,H4,,1
21673_15_clean_Escherichia_coli-SC61_ST91_contigs,B01408,SC61_ST91,21673_15,Untypeable,Both,O19,H4,,1
21673_15_clean_Escherichia_coli-SC68_ST83_contigs,B01408,SC68_ST83,21673_15,KL21_K13-K23,<5000bp,O19,H4,,1
22178_4_17_clean_Escherichia_coli-SC2_ST131_contigs,B01409,SC2_ST131,22178_4_17,KL3_K2ab,>5000bp,O17,H18,C2,1
21523_4_5_clean_Escherichia_coli-SC6_ST69_contigs,B01409,SC6_ST69,21523_4_5,KL7,>5000bp,O17,H18,,1
21673_18_clean_Escherichia_coli-SC2_ST131_contigs,B01413,SC2_ST131,21673_18,KL6_K5,>5000bp,O25,H4,C1,1
24211_2_8_clean_Escherichia_coli-SC18_ST141_contigs,B01417,SC18_ST141,24211_2_8,KL8A1_K1,>5000bp,O2,H6,,1
24469_2_18_clean_Escherichia_coli-SC8_ST1193_contigs,B01417,SC8_ST1193,24469_2_18,KL31_K74,>5000bp,O2,H6,,1
25013_2_20_clean_Escherichia_coli-SC224_ST1429_contigs,B01421,SC224_ST1429,25013_2_20,Untypeable,Both,O40-like/O8,H7,,1
24469_2_2_clean_Escherichia_coli-SC53_ST448_contigs,B01423,SC53_ST448,24469_2_2,Untypeable,Both,O74,H8,,1
23164_6_4_clean_Escherichia_coli-SC77_ST409_contigs,B01423,SC77_ST409,23164_6_4,Untypeable,Both,O125,H38/H55,,1
25076_3_14_clean_Escherichia_coli-SC175_ST1136_contigs,B01438,SC175_ST1136,25076_3_14,Untypeable,Both,O1,H7,,1
25013_1_7_clean_Escherichia_coli-SC20_ST59_contigs,B01438,SC20_ST59,25013_1_7,KL8A1_K1,>5000bp,O1,H7,,1
25076_3_14_clean_Escherichia_coli-SC21_ST393_contigs,B01438,SC21_ST393,25076_3_14,KL22,>5000bp,O1,H7,,1
25013_1_7_clean_Escherichia_coli-SC24_ST443_contigs,B01438,SC24_ST443,25013_1_7,Untypeable,Both,O1,H7,,1
24469_2_6_clean_Escherichia_coli-SC7_ST21_contigs,B01450,SC7_ST21,24469_2_6,Untypeable,Both,O26,H11,,1
37273_8_2_clean_Escherichia_coli-SC6_ST69_contigs,B01461,SC6_ST69,37273_8_2,KL40_K15,>5000bp,O15,H6,,1
24469_7_10_clean_Escherichia_coli-SC65_ST399_contigs,B01472,SC65_ST399,24469_7_10,KL112,<5000bp,O11/O17,H18,,1
24469_7_10_clean_Escherichia_coli-SC6_ST69_contigs,B01472,SC6_ST69,24469_7_10,KL107_K4-like,>5000bp,O11/O17,H18,,1
37273_3_1_clean_Escherichia_coli-SC32_ST80_contigs,B01504,SC32_ST80,37273_3_1,KL8A1_K1,>5000bp,O75,H7,,1
24469_1_10_clean_Escherichia_coli-SC20_ST59_contigs,B01536,SC20_ST59,24469_1_10,KL8A1_K1,>5000bp,O114,H4,,1
24469_1_10_clean_Escherichia_coli-SC39_ST117_contigs,B01536,SC39_ST117,24469_1_10,Untypeable,Both,O114,H4,,1
24469_6_5_clean_Escherichia_coli-SC17_ST58_contigs,B01539,SC17_ST58,24469_6_5,Untypeable,Both,O153-like,Hneg,,1
24469_6_5_clean_Escherichia_coli-SC28_ST101_contigs,B01539,SC28_ST101,24469_6_5,Untypeable,Both,O153-like,Hneg,,1
24469_6_5_clean_Escherichia_coli-SC42_ST678_contigs,B01539,SC42_ST678,24469_6_5,Untypeable,Both,O153-like,Hneg,,1
24469_6_5_clean_Escherichia_coli-SC4_ST10_contigs,B01539,SC4_ST10,24469_6_5,Untypeable,Both,O153-like,Hneg,,1
24469_2_15_clean_Escherichia_coli-SC3_ST73_contigs,B01540,SC3_ST73,24469_2_15,KL6_K5,>5000bp,O6,H1,,1
24469_2_15_clean_Escherichia_coli-SC45_ST297_contigs,B01540,SC45_ST297,24469_2_15,KL189_K52-like,<5000bp,O6,H1,,1
21842_2_19_clean_Escherichia_coli-SC4_ST10_contigs,B01540,SC4_ST10,21842_2_19,Untypeable,Both,O12,H4,,1
24469_6_23_clean_Escherichia_coli-SC44_ST200_contigs,B01543,SC44_ST200,24469_6_23,Untypeable,Both,O109,Hneg,,1
21842_2_22_clean_Escherichia_coli-SC6_ST69_contigs,B01543,SC6_ST69,21842_2_22,KL7,>5000bp,O17,H18,,1
24469_1_19_clean_Escherichia_coli-SC12_ST410_contigs,B01548,SC12_ST410,24469_1_19,Untypeable,Both,Oneg,Hneg,,1
37273_3_12_clean_Escherichia_coli-SC32_ST80_contigs,B01550,SC32_ST80,37273_3_12,KL8A1_K1,<5000bp,O184,H9,,1
37273_3_12_clean_Escherichia_coli-SC65_ST399_contigs,B01550,SC65_ST399,37273_3_12,Untypeable,Both,O184,H9,,1
24469_2_17_clean_Escherichia_coli-SC18_ST141_contigs,B01572,SC18_ST141,24469_2_17,KL140_K7-like,>5000bp,O128,H6,,1
24469_2_17_clean_Escherichia_coli-SC4_ST10_contigs,B01572,SC4_ST10,24469_2_17,Untypeable,Both,O128,H6,,1
24469_3_7_clean_Escherichia_coli-SC34_ST641_contigs,B01600,SC34_ST641,24469_3_7,Untypeable,Both,O153-like,H6,,1
24469_3_7_clean_Escherichia_coli-SC59_ST583_contigs,B01600,SC59_ST583,24469_3_7,Untypeable,Both,O153-like,H6,,1
22178_4_18_clean_Escherichia_coli-SC5_ST95_contigs,B01610,SC5_ST95,22178_4_18,KL8A1_K1,>5000bp,O1,H7,,1
37273_3_2_clean_Escherichia_coli-SC32_ST80_contigs,B01613,SC32_ST80,37273_3_2,KL8A1_K1,>5000bp,O75,H7,,1
21842_3_8_clean_Escherichia_coli-SC20_ST59_contigs,B01616,SC20_ST59,21842_3_8,KL8A1_K1,>5000bp,O1,H7,,1
21842_3_7_clean_Escherichia_coli-SC2_ST131_contigs,B01616,SC2_ST131,21842_3_7,KL6_K5,>5000bp,O25,H4,C2,1
21842_3_8_clean_Escherichia_coli-SC3_ST73_contigs,B01616,SC3_ST73,21842_3_8,KL6_K5,>5000bp,O1,H7,,1
24211_2_17_clean_Escherichia_coli-SC4_ST10_contigs,B01626,SC4_ST10,24211_2_17,KL9_K20,>5000bp,O168,H18,,1
24469_3_18_clean_Escherichia_coli-SC6_ST69_contigs,B01626,SC6_ST69,24469_3_18,KL189_K52-like,>5000bp,O117,H4,,1
37273_3_10_clean_Escherichia_coli-SC5_ST95_contigs,B01630,SC5_ST95,37273_3_10,KL8A1_K1,>5000bp,O2,H7,,1
21842_3_10_clean_Escherichia_coli-SC102_ST973_contigs,B01633,SC102_ST973,21842_3_10,KL39,>5000bp,O11,H15,,1
21842_3_10_clean_Escherichia_coli-SC18_ST141_contigs,B01633,SC18_ST141,21842_3_10,KL8A1_K1,>5000bp,O11,H15,,1
24469_1_23_clean_Escherichia_coli-SC165_ST1643_contigs,B01664,SC165_ST1643,24469_1_23,Untypeable,Both,O132,H34,,1
24469_1_23_clean_Escherichia_coli-SC76_ST722_contigs,B01664,SC76_ST722,24469_1_23,Untypeable,Both,O132,H34,,1
25013_3_10_clean_Escherichia_coli-SC54_ST538_contigs,B01668,SC54_ST538,25013_3_10,KL8A2_K92,>5000bp,O129,H4,,1
24469_7_13_clean_Escherichia_coli-SC109_ST327_contigs,B01670,SC109_ST327,24469_7_13,Untypeable,Both,O1,H6,,1
24211_3_6_clean_Escherichia_coli-SC167_ST68_contigs,B01670,SC167_ST68,24211_3_6,KL31_K74,>5000bp,O1,H6,,1
37273_8_7_clean_Escherichia_coli-SC66_ST135_contigs,B01706,SC66_ST135,37273_8_7,KL14_K24,>5000bp,O83,H1,,1
24469_4_17_clean_Escherichia_coli-SC9_ST12_contigs,B01710,SC9_ST12,24469_4_17,KL26_K3,>5000bp,O4,H5,,1
24469_1_20_clean_Escherichia_coli-SC2_ST131_contigs,B01712,SC2_ST131,24469_1_20,KL2_K100,>5000bp,O16,H5,A,1
24469_1_11_clean_Escherichia_coli-SC18_ST141_contigs,B01714,SC18_ST141,24469_1_11,KL8A1_K1,>5000bp,O2,H6,,1
24469_6_21_clean_Escherichia_coli-SC107_ST589_contigs,B01716,SC107_ST589,24469_6_21,Untypeable,Both,O51,H49,,1
37273_3_17_clean_Escherichia_coli-SC4_ST10_contigs,B01717,SC4_ST10,37273_3_17,Untypeable,Both,O12,H4,,1
21842_3_21_clean_Escherichia_coli-SC147_ST2178_contigs,B01719,SC147_ST2178,21842_3_21,Untypeable,Both,O74,H23,,1
21842_3_21_clean_Escherichia_coli-SC149_ST224_contigs,B01719,SC149_ST224,21842_3_21,Untypeable,Both,O74,H23,,1
21842_3_23_clean_Escherichia_coli-SC4_ST10_contigs,B01719,SC4_ST10,21842_3_23,Untypeable,Both,Oneg,H4,,1
21842_3_21_clean_Escherichia_coli-SC55_ST906_contigs,B01719,SC55_ST906,21842_3_21,Untypeable,Both,O74,H23,,1
21842_3_21_clean_Escherichia_coli-SC58_ST2773_contigs,B01719,SC58_ST2773,21842_3_21,Untypeable,Both,O74,H23,,1
21842_3_21_clean_Escherichia_coli-SC87_ST937_contigs,B01719,SC87_ST937,21842_3_21,Untypeable,Both,O74,H23,,1
25013_3_11_clean_Escherichia_coli-SC6_ST69_contigs,B01729,SC6_ST69,25013_3_11,KL189_K52-like,>5000bp,O117,H4,,1
